Datum,Begegnung,Ergebnis,Nikita,Dmitriy,Konsta,Stadion
2024-06-15 18:00:00,Spanien - Kroatien,-:-,,,,"Olympiastadion, Berlin"
2024-06-15 21:00:00,Italien - Albanien,-:-,,,,"BVB-Stadion Dortmund, Dortmund"
2024-06-19 15:00:00,Albanien - Kroatien,-:-,,,,"Volksparkstadion, Hamburg"
2024-06-20 21:00:00,Spanien - Italien,-:-,,,,"Arena AufSchalke, Gelsenkirchen"
2024-06-24 21:00:00,Albanien - Spanien,-:-,,,,"Düsseldorf Arena, Düsseldorf"
2024-06-24 21:00:00,Kroatien - Italien,-:-,,,,"Leipzig Stadium, Leipzig"
