Datum,Begegnung,Ergebnis,Nikita,Dmitriy,Konsta,Stadion
2024-07-09 21:00:00,Sieger VF 1 - Sieger VF 2,-:-,,,,"Munich Football Stadium, München"
2024-07-10 21:00:00,Sieger VF 3 - Sieger VF 4,-:-,,,,"BVB-Stadion Dortmund, Dortmund"
