Datum,Begegnung,Ergebnis,Nikita,Dmitriy,Konsta,Stadion
2024-06-18 18:00:00,Türkei - Georgien,-:-,,,,"BVB-Stadion Dortmund, Dortmund"
2024-06-18 21:00:00,Portugal - Tschechien,-:-,,,,"Leipzig Stadium, Leipzig"
2024-06-22 18:00:00,Türkei - Portugal,-:-,,,,"BVB-Stadion Dortmund, Dortmund"
2024-06-22 15:00:00,Georgien - Tschechien,-:-,,,,"Volksparkstadion, Hamburg"
2024-06-26 21:00:00,Tschechien - Türkei,-:-,,,,"Volksparkstadion, Hamburg"
2024-06-26 21:00:00,Georgien - Portugal,-:-,,,,"Arena AufSchalke, Gelsenkirchen"
