Datum,Begegnung,Ergebnis,Nikita,Dmitriy,Konsta,Stadion
2024-06-29 18:00:00,Zweiter Gr. A - Zweiter Gr. B,-:-,,,,"Olympiastadion, Berlin"
2024-06-29 21:00:00,Sieger Gr. A - Zweiter Gr. C,-:-,,,,"BVB-Stadion Dortmund, Dortmund"
2024-06-30 18:00:00,Sieger Gr. C - Dritter D/E/F,-:-,,,,"Arena AufSchalke, Gelsenkirchen"
2024-06-30 21:00:00,Sieger Gr. B - Dritter A/D/E/F,-:-,,,,"Cologne Stadium, Köln"
2024-07-01 18:00:00,Zweiter Gr. D - Zweiter Gr. E,-:-,,,,"Düsseldorf Arena, Düsseldorf"
2024-07-01 21:00:00,Sieger Gr. F - Dritter A/B/C,-:-,,,,"Frankfurt-Arena, Frankfurt"
2024-07-02 18:00:00,Sieger Gr. E - Dritter A/B/C/D,-:-,,,,"Munich Football Stadium, München"
2024-07-02 21:00:00,Sieger Gr. D - Zweiter Gr. F,-:-,,,,"Leipzig Stadium, Leipzig"
