Datum,Begegnung,Ergebnis,Nikita,Dmitriy,Konsta,Stadion
2024-06-17 18:00:00,Belgien - Slowakei,-:-,,,,"Frankfurt-Arena, Frankfurt"
2024-06-17 15:00:00,Rumänien - Ukraine,-:-,,,,"Allianz Arena, München"
2024-06-21 15:00:00,Slowakei - Ukraine,-:-,,,,"Düsseldorf Arena, Düsseldorf"
2024-06-22 21:00:00,Belgien - Rumänien,-:-,,,,"Cologne Stadium, Köln"
2024-06-26 18:00:00,Ukraine - Belgien,-:-,,,,"Stuttgart Arena, Stuttgart"
2024-06-26 18:00:00,Slowakei - Rumänien,-:-,,,,"Frankfurt-Arena, Frankfurt"
