Datum,Begegnung,Ergebnis,Nikita,Dmitriy,Konsta,Stadion
2024-06-14 21:00:00,Deutschland - Schottland,-:-,,,,"Munich Football Stadium, München"
2024-06-15 15:00:00,Ungarn - Schweiz,-:-,,,,"Cologne Stadium, Köln"
2024-06-19 21:00:00,Schottland - Schweiz,-:-,,,,"Cologne Stadium, Köln"
2024-06-19 18:00:00,Deutschland - Ungarn,-:-,,,,"Stuttgart Arena, Stuttgart"
2024-06-23 21:00:00,Schweiz - Deutschland,-:-,,,,"Frankfurt-Arena, Frankfurt"
2024-06-23 21:00:00,Schottland - Ungarn,-:-,,,,"Stuttgart Arena, Stuttgart"
